访客ID,事件名称,事件时间
1,安装应用,2023/5/10 0:07
1,开启应用,2023/5/10 0:07
1,updateflow,2023/5/10 0:07
1,s_moudle_data_af_deeplink,2023/5/10 0:07
1,updateflow,2023/5/10 0:07
1,updateflow,2023/5/10 0:07
1,usr_data_install,2023/5/10 0:07
1,usr_data_AB,2023/5/10 0:07
1,updateflow,2023/5/10 0:07
1,usr_data_type,2023/5/10 0:07
1,广告SDK初始化结果,2023/5/10 0:07
1,s_moudle_data_af_conversion_success,2023/5/10 0:07
1,usr_data_guide_1_start,2023/5/10 0:08
1,usr_data_guide_1_end,2023/5/10 0:08
1,usr_data_guide_2_start,2023/5/10 0:08
1,usr_data_guide_2_end,2023/5/10 0:08
1,usr_data_guide_3_start,2023/5/10 0:08
1,usr_data_guide_3_end,2023/5/10 0:08
1,usr_data_game_start,2023/5/10 0:08
1,关闭应用,2023/5/10 0:09
1,开启应用,2023/5/10 0:10
1,关闭应用,2023/5/10 0:12
1,开启应用,2023/5/10 0:12
1,usr_data_game_end,2023/5/10 0:15
1,gameid1,2023/5/10 0:15
1,usr_data_game_die,2023/5/10 0:15
1,topsocre1500,2023/5/10 0:15
1,usr_data_topscore,2023/5/10 0:15
1,关闭应用,2023/5/10 0:15
1,开启应用,2023/5/10 0:15
1,usr_data_end_next_click,2023/5/10 0:15
1,usr_data_game_start,2023/5/10 0:15
1,usr_data_game_end,2023/5/10 0:19
1,gameid2,2023/5/10 0:19
1,usr_data_game_die,2023/5/10 0:19
1,关闭应用,2023/5/10 0:19
1,开启应用,2023/5/10 0:20
1,usr_data_end_next_click,2023/5/10 0:20
1,usr_data_game_start,2023/5/10 0:20
1,usr_data_game_end,2023/5/10 0:23
1,gameid3,2023/5/10 0:23
1,usr_data_game_die,2023/5/10 0:23
1,usr_data_end_next_click,2023/5/10 0:23
1,usr_data_game_start,2023/5/10 0:23
1,usr_data_show_comment,2023/5/10 0:23
1,usr_data_close_comment,2023/5/10 0:23
1,关闭应用,2023/5/10 0:30
1,开启应用,2023/5/10 0:31
1,关闭应用,2023/5/10 0:32
1,开启应用,2023/5/10 20:20
1,updateflow,2023/5/10 20:20
1,s_moudle_data_af_conversion_success,2023/5/10 20:20
1,updateflow,2023/5/10 20:20
1,updateflow,2023/5/10 20:20
1,usr_data_type,2023/5/10 20:20
1,广告SDK初始化结果,2023/5/10 20:20
1,travelBtn,2023/5/10 20:20
1,usr_data_journey_download,2023/5/10 20:20
1,usr_data_journey_download,2023/5/10 20:20
1,usr_data_journey_download,2023/5/10 20:20
